team;matches_played;goals_for;goals_against
FC Bayern München;33;90;37
Borussia Dortmund;32;78;42
RB Leipzig;33;60;39
1. FC Union Berlin;33;50;38
Sport-Club Freiburg;33;50;42
Bayer 04 Leverkusen;32;55;44
VfL Wolfsburg;33;56;46
Eintracht Frankfurt;33;56;51
1. FSV Mainz 05;32;51;49
1. FC Köln;33;48;52
Borussia Mönchengladbach;32;48;53
SV Werder Bremen;33;51;63
TSG Hoffenheim;33;47;56
FC Augsburg;32;42;58
VfL Bochum 1848;33;37;72
FC Schalke 04;33;33;67
VfB Stuttgart;32;40;55
Hertha Berlin;33;40;68
