team;matches_played;goals_for;goals_against
Paris Saint-Germain;35;84;35
RC Lens;35;59;27
Olympique de Marseille;36;66;37
AS Monaco;36;69;54
LOSC Lille;36;62;42
Stade Rennais FC;36;62;38
Olympique Lyonnais;36;61;44
Clermont Foot 63;35;39;45
FC Lorient;35;49;47
OGC Nice;35;42;34
Stade de Reims;35;42;37
Montpellier HSC;36;60;58
Toulouse FC;35;48;55
RC Strasbourg Alsace;35;48;55
Stade Brestois 29;35;39;50
AJ Auxerre;35;32;57
FC Nantes;36;35;53
AC Ajaccio;36;22;68
ESTAC Troyes;35;42;77
Angers SCO;35;29;77
